5.158,18.7,10.64,24.78
5.213,14.23,20.37
5.076,16.67,28.5
5.133,109.8,14.86,145.9
5.05,14.7,364.8
5.225,8.77,13.99,21.24
5.218,9.316,14.76,21.5
5.198,13.18,25.64,28.44
5.218,9.122,14.49,21.39
5.223,8.616,13.69,21.29
5.196,11.66,15.29,21.77
5.226,9.148,14.56,21.53
5.212,9.616,13.47,21.58
5.218,9.905,26.89,15.85
5.204,9.963,13.41,21.38
5.191,90.43,12.61,90.39
5.186,33.75,9.799,44.48
5.212,9.643,13.56,21.24
5.178,41.7,50.39,67.09
5.044,23.13,30.24,12.54
5.115,14.42,5172.0,51.32
5.206,22.91,30.47
5.099,30.02,38.9
5.221,8.57,13.6,21.61
5.23,8.57,13.74,21.83
5.072,13.92,25.37
5.232,8.569,13.47,21.58
5.213,9.185,14.51,22.67
5.138,22.63,11.41
4.901,15.13
5.226,9.403,14.9,21.67
5.205,13.82,27.65
5.102,40.75,83.15,71.71
5.163,100.8,133.6
5.099,9.907,24.59
5.231,8.519,13.52,21.57
5.19,50.79,16.75,20.82
5.231,8.576,13.41,21.51
4.915,24.97,62.35
5.124,11.43,50.84,25.34
5.221,8.592,13.69,21.9
5.222,9.07,14.38,21.6
5.18,53.68,12.69,17.77
5.222,9.073,14.34,21.37
5.22,8.685,13.8,21.56
5.223,9.138,14.58,21.56
5.225,8.897,14.2,21.53
5.216,9.779,15.53,21.35
5.186,9.858,15.64,20.86
5.038,17.05,7027.0
5.221,9.222,14.63,21.6
5.117,12.97,71.75
5.078,27.11,35.71
5.064,16.17,24.97,9.789
4.964,12.15,40.52
5.22,8.656,13.9,21.37
5.176,19.91,39.5,14.85
5.212,11.14,22.98,33.4
5.217,8.793,14.02,21.47
5.218,11.06,2213.0,37.62
5.151,68.59,13.96,18.69
5.202,10.94,14.17,21.54
5.123,21.41,9.848,26.15
5.183,109.9,13.01,18.93
5.134,10.45,2154.0,23.71
4.955,20.81,19.06
5.22,10.2,22.27,15.84
5.18,70.26,24.22,11.9
5.206,11.35,12.39,31.61
5.211,10.36,108.8,14.96
5.222,9.367,14.7,21.94
5.023,16.88,46.98
5.158,71.09,71.69,21.05
5.08,15.4,10.04,28.52
5.051,24.81,16.53
5.211,15.65,10.31,41.93
5.23,8.973,14.27,21.52
5.125,20.24,12.17,25.48
5.163,13.57,46.45,42.25
5.182,176.0,11.08,18.54
5.216,8.698,13.8,21.42
5.226,8.8,14.01,21.58
5.204,10.76,30.85,25.6
5.178,88.35,10.18,22.77
5.223,9.545,15.17,21.97
5.226,8.961,14.17,21.46
5.232,8.582,13.65,21.42
5.056,15.09,24.08
5.114,44.02,29.43,13.39
5.218,12.33,36.43,35.14
5.205,45.71,9.835,59.18
5.225,8.863,14.16,21.4
5.121,23.96,1009.0,14.98
5.065,95.25,21.62,76.36
5.024,20.06,25.95
5.224,16.26,32.56
5.172,117.7,19.8,12.33
5.159,47.82,67.41,17.31
5.003,18.53,40.35
5.173,107.1,140.8,10.63
5.07,14.39,32.03
5.221,9.07,14.41,21.43
5.054,21.74,40.16
5.224,8.937,14.23,21.54
5.23,8.651,13.73,21.28
5.194,86.0,11.43,114.9
5.188,46.28,11.68,36.85
5.225,8.677,13.72,21.37
5.231,8.593,13.58,21.4
5.091,89.52,18.15,25.74
5.226,8.616,13.74,21.86
5.226,8.688,13.82,21.41
5.226,8.542,13.61,21.84
5.175,175.4,10.73,228.0
5.014,14.56,32.55
5.089,61.79,14.76,98.45
5.211,9.283,13.48,21.48
5.227,9.204,13.5,21.69
5.207,27.71,11.74,36.45
5.004,16.96,37.08
4.999,30.95,127.5,16.47
5.228,8.767,13.9,21.4
5.029,21.8,63.22
5.049,25.92,58.45
4.918,18.06,29.6
5.104,42.63,15.88
5.233,8.505,13.53,21.61
5.034,148.4,192.4
5.195,43.06,10.3,18.84
5.234,8.737,13.92,21.35
5.228,8.619,13.73,21.29
5.231,8.536,13.47,21.6
5.136,91.11,111.1,12.65
5.034,17.88
5.014,15.12,1022.0,149.2
